Subject ID,Experimental Batch,List Number,Question Preview,Data Collection Site,Comprehension Score - Regular Trials,Comprehension Score - Repeated Reading,Recalibration Count,Mean Validation Error,Total Session Duration,Session Duration,Dominant Eye,Tracked Eye,LexTALE Score*
147,1,51,False,MIT,69,67,10,,50.792533333333324,32.91375,R,R,
158,1,51,True,MIT,94,92,6,,56.686733333333336,52.28051666666667,R,R,
427,3,51,True,Technion,83,100,2,,58.89564999999999,45.28888333333334,L,L,97.5
429,3,51,False,Technion,83,73,10,,86.01956666666666,66.07639999999999,L,L,90.0
475,2,51,False,Technion,72,75,8,,66.28596666666667,47.272483333333334,L,L,95.0
497,2,51,True,MIT,89,88,3,,41.56353333333333,35.26748333333333,R,R,97.5
149,1,52,False,MIT,69,50,10,,46.91426666666666,37.928983333333335,L,L,
164,1,52,True,MIT,83,100,1,,52.41369999999995,47.210100000000004,L,L,
2023,2,52,True,MIT,80,69,20,,76.14126666666667,40.49235,L,LR,97.5
428,3,52,True,Technion,98,100,3,,45.89241666666669,37.59513333333334,L,L,93.75
430,3,52,False,Technion,72,100,5,,63.14255,54.73633333333333,R,R,92.5
477,2,52,False,Technion,76,85,3,,43.1464,29.821849999999998,R,R,97.5
150,1,53,False,MIT,61,89,6,,48.08293333333333,39.07586666666667,R,R,
166,1,53,True,MIT,85,89,17,,64.57625000000007,46.98485,L,L,
431,3,53,True,Technion,87,69,4,,68.20828333333334,45.998783333333336,L,L,82.5
432,3,53,False,Technion,76,85,19,,84.99016666666667,65.74098333333333,L,L,100.0
478,2,53,False,Technion,85,92,8,,88.44621666666669,35.678583333333336,R,R,97.5
498,2,53,True,MIT,93,100,4,,31.23226666666667,21.3575,L,R,95.0
151,1,54,False,MIT,74,56,9,,54.274583333333325,45.315333333333335,L,L,
171,1,54,True,MIT,91,78,5,,42.868383333333355,33.5224,R,R,
461,3,54,True,Technion,81,67,3,,70.18205,63.551500000000004,L,L,85.0
479,2,54,False,Technion,85,77,9,,66.07228333333333,46.381600000000006,L,L,93.75
499,2,54,True,MIT,87,100,11,,78.71370000000002,46.705933333333334,L,L,100.0
516,3,54,False,MIT,91,83,1,,47.12206666666666,43.82235,R,R,67.5
157,1,55,False,MIT,78,92,17,,64.15061666666666,41.99941666666667,R,R,
180,1,55,True,MIT,89,100,2,,45.505316666666644,39.648983333333334,R,R,
435,3,55,True,Technion,85,90,12,,63.93365,33.924533333333336,L,L,98.75
437,3,55,False,Technion,80,90,6,,78.75586666666666,53.748133333333335,R,R,100.0
500,2,55,True,MIT,85,92,16,,70.94238333333332,43.87235,L,L,87.5
519,2,55,False,MIT,63,75,12,,40.87651666666667,28.518416666666667,R,R,86.25
159,1,56,False,MIT,83,100,9,,69.26278333333332,64.87436666666666,L,L,
438,3,56,False,Technion,87,89,2,,40.6828,33.40326666666667,L,L,97.5
481,2,56,False,Technion,80,92,1,,69.46995,60.01423333333333,L,L,87.5
487,2,56,True,MIT,94,100,12,,61.35626666666667,36.675066666666666,L,L,95.0
489,1,56,True,MIT,85,91,16,,70.10721666666669,40.71216666666667,L,R,98.75
522,3,56,True,MIT,87,100,5,,48.02645,39.1961,R,R,95.0
170,1,57,False,MIT,85,100,3,,50.54223333333334,42.48928333333333,L,L,
2095,2,57,False,MIT,56,70,7,,66.48103333333334,53.563433333333336,R,R,93.75
288,1,57,True,MIT,85,100,1,,35.99105,32.38345,R,R,
439,3,57,True,Technion,76,71,6,,75.85343333333333,59.65855,L,R,85.0
463,3,57,False,Technion,85,86,8,,57.828016666666656,39.41583333333333,R,R,98.75
501,2,57,True,MIT,87,100,15,,63.200633333333315,43.47416666666666,L,L,92.5
177,1,58,False,MIT,87,91,1,,41.456,37.47161666666667,L,L,
189,1,58,True,MIT,93,100,7,,63.32546666666664,47.0535,L,L,
441,3,58,True,Technion,89,91,2,,60.772600000000004,54.00196666666667,L,L,96.25
466,3,58,False,Technion,70,73,2,,48.015166666666666,42.53625,R,R,97.5
483,2,58,False,Technion,81,83,9,,87.89616666666667,56.3561,R,LR,100.0
503,2,58,True,MIT,96,100,1,,47.7522,43.135533333333335,R,R,100.0
191,1,59,True,MIT,80,91,8,,41.38824999999997,32.194916666666664,R,R,
293,1,59,False,MIT,98,100,5,,62.12048333333334,53.49213333333333,L,L,
485,2,59,False,Technion,80,100,0,,53.39811666666667,41.993183333333334,L,R,91.25
504,2,59,True,MIT,98,90,6,,54.40970000000004,45.68288333333333,R,R,93.75
546,3,59,False,MIT,85,80,6,,63.125216666666674,54.19773333333333,R,R,90.0
547,3,59,True,MIT,78,100,8,,58.87381666666667,44.95296666666666,R,R,96.25
175,2,5,True,MIT,91,100,22,,70.88810000000001,42.665616666666665,L,R,
179,2,5,False,MIT,80,100,4,,40.48433333333333,33.99603333333333,R,R,
328,3,5,True,MIT,87,100,13,,71.1272,58.04561666666667,L,L,
332,3,5,False,MIT,80,75,4,,41.28176666666666,34.230533333333334,R,R,
69,1,5,True,MIT,93,100,6,,51.49956666666665,42.6453,L,L,
82,1,5,False,MIT,69,50,9,,34.19616666666667,23.8018,L,L,
190,1,60,False,MIT,83,83,9,,70.2262,60.72651666666666,L,L,
198,1,60,True,MIT,78,83,12,,61.606149999999985,37.18416666666667,L,L,
446,3,60,True,Technion,96,83,19,,83.26738333333334,41.08706666666667,R,R,96.25
